|title|content
0|미래의 새내기들을 위한 꿀팁|"1. 학생회비 내지마라

그거 안내도 상관없다. 학생회비 그 값만큼 절대 값 못한다. 차피 코로나 때문에 축제나 행사같은거 퀄리티 개판이라 의미없다.(사실 학생회비 안내도 축제나 행사같은거 보는데 문제없다) 본인이 학생회나 어디 연합회 들어갈꺼 아니면 그냥 그 돈으로 공부잘하고 뭐 준비많이하는 비전있는 선배 밥 사주는게 학교 생활하면서 더 많이 얻어갈 수 있다.


2. 남자 새내기일 경우 지금 여자동기들이랑 잘지내라

너가 남자면 어지간하면 군대를 가야한다. 군대갔다오면 니 여자동기들은 대부분 3,4학년되고 취준이나 졸업준비를 하고있기때문에 정보를 많이 얻을 수 있다. 괜히 복학해서 군대 보상심리때문에 대2병걸리거나 욜로가 무엇인지 고민하지 말고 현실을 직시할 수 있다.


3. 전공에서 조별과제를 할 때 고학년 선배는 최대한 피하자

이건 1학년 전공기준으로 하는 말이며, 1학년 전공을 고학년이 수강하는 이유는 못해서 다시하는거거나 저학년때 삐딱선타거나 하는 이유가 대부분이다.(휴학같은 이유도 있지만 보통 안좋은 이유로 듣는 경우가 태반이다.) 대학교 새내기들이 오해하는게 있는데 나이가 많음=공부를 잘함??
절대아니다. 그 선배가 너보다 전공지식이 후달릴수도 있고 고학년이면 취업준비의 이유나 진로의 문제로 조별과제때 도망갈 가능성도 있다.
치즈인더트랩에 상철 선배같은 느낌이라고 생각하면 편하다.


4. 본인 학점/등수 자랑하고 다니지 말자

옛말에 사촌이 땅을 사면 배가 아프다고 했다. 대학교를 다니면 사람과 사람들 사이에서 일어나는 정치를 배울 수 있다. 너가 학점이 높으면 높다고 잘난척한다고 까일 수도 있고 조별과제를 하게 될 때 너가 책임져야할 분계점이 높아질 수 있다.(너가 학교생활까지 멋지게 해내거나 약간 인싸이면 니 옆에 손민수가 생길 수도 있다.) 반대로 낮으면 낮다고 친구들 사이에서 무시당할수도 있고 너가 실수를 할 때 이러한 조건이 악영향을 미칠 수 있다. 그냥 이런건 남들 이야기하는것만 듣고 남들 하는 정도만 한다고 말하는게 앞으로의 생활에 편하다. 그리고 지금 절평땜에 솔직히 저학년들 학점 평균 4점넘는 사람들 개많다.(니들은 상대평가로 다시 바뀌면 무조건 0.5~1.0정도 떨어질꺼 각오해야한다. 지금 잘 나올때 22학점 들어서 학점 평균치 올려놓는게 좋다.) 진짜로 과탑이나 학점이나 등수겁나게 높은애들은 본인이 말 안해도 교수님이 발표나 시험점수같은거 이야기할때 극찬을 하기 때문에 누가 진짜로 학점이 높은지 말 안해도 알 수 있다.


5. 고등학교 성적이나 내신, 수능 이야기 하지말자

이게 제일 새내기들이 많이하는 실수인데 나는 여기올 사람이 아니라는 식으로 이야기하는 새내기들이 생각보다 엄청많다. 물론 실제로 성적이나 내신, 수능성적이 높은 그런사람도 있겠지만
태반은 그냥 어정쩡한데 대학교와서 시험치고 비대면 절평빨로 1학기때 성적이 높으니 과거기억왜곡하는 애들이다. 그리고 선배나 교수님앞에서 이런 이야기하면 솔직히 윗사람의 입장으로써 뭐 챙겨주고싶지도 않아 보인다.
이런 애들 특징에 나중에 자퇴할꺼다 혹은 2학년되면 편입같은거 주워듣고 편입으로 도망갈꺼라고 호언장담해놓고 토익치다가 어정쩡하게 토익점수나와서 3학년때 다시 얼굴보는 애들이다.


6. 사람 좀 가려가면서 만나자

물론 사람 가려가면서 사귀는게 나쁜게 맞긴한데 무조건 고등학교때 처럼 같은학과라고 다 친구이며 친해져야 할 의무가 있는것은 아니다. 그래서 친구들끼리만 모여서 같이 수업듣고 같이 밥먹고 같이 무언가를 하기 때문에 맨날 놀고 미래 생각안하는 애들이랑 어울리면 본인도 그렇게되고, 맨날 무언가를 연구하고 공부하면서 미래 걱정하는 애들이랑 어울리면 본인도 어느새 그렇게 하고있다.
명심하자 니가 학교에서 어느 수준인지 궁금하면 평소 사귄 친구들의 평균이 너의 수준이다.


7. 학교 활동을 많이하자

학교 중앙동아리, 교내활동, 대외활동 등등 이런걸 많이 하면서 경험을 쌓아보면 좋다. 다른 학과 사람들을 만날 수 있고 본인이 공대계열, 간호계열 이런쪽이라 외로운데 애인이 없다고 하는 사람의 경우 더욱 좋다. 그리고 보통 2,3학년 사람들이 많기 때문에 프로그램 뿐만 아니라 선배의 경험이나 꿀팁같은 것을 배워갈 너무 좋은 기회다.


8. 교수님을 100% 믿지말자

고등학교때 선생님과 다르게 대학교 교수님의 주 업무는 학생관리가 아니다. 그렇기 때문에 수업의 퀄리티가 후달릴 수도 있고 틀린내용을 가르칠 수도 있다. (나중에 고학년이 되면 강의는 교수님한테 듣고 시험준비는 유튜브와 구글링으로 준비하는 경우도 있고 이게 성적이 더 잘나오는 경우도 빈번하다. 이걸 반드시 기억하자) 또한 시험에 대한 공지를 개인적인 사유로(혹은 사유도 없이) 번복할 수도 있으며, 시험 범위를 틀리는 경우도 있다. 우리는 이에 대한 마음의 준비와 시험 대비책이 필요하기 때문에 약간 느낌이 싸하다 싶은 교수님이 있다면 가차없이 마음속으로 선 긋고 수업만 듣는 비즈니스 관계가 되어야 한다. 이런 사람이랑 좋은 이유든 나쁜 이유든 엮이면 굉장히 곤란해진다. 이와 반대라 엄청나게 좋은 교수님이 있다면 그 교수님과는 반드시 좋은 관계를 유지하고 사는 것이 좋다. 앞에서 말했다시피 대학교 교수님의 주 업무는 학생관리가 아닌데 좋은 교수님이다? 이 말인 즉슨 본인의 연구, 성과같은 부분은 완벽하고 다른 부분까지 볼 줄 아는 사람이라는거다."
0|짜니짜니 염색했어용!!|어때용~~
0|미래의 새내기들에게 대학꿀팁.|"1. 화장실 갈 때는 손들고 교수님한테 말씀드리고 가세요. 그래야 태도점수 안깎여요. 깎인 태도점수는 칭찬도장 or 칭찬스티커로 어느정도 채울 수 있으나 교수님마다 그 한도가 다르니 되도록이면 태도점수 깎이지 않도록 해요. (지각했을땐 앞문으로 들어와 교수님께 지각해서 죄송하다고 말씀드린 후에 자리에 앉도록해요)

2. 강의실에 커피나 음료 들고올땐 교수님에게 허락받아야해요. 부득이하게 수업중에 먹어야한다면 손을 들고 ‘교수님 저 커피or간식 먹고싶습니다’ 요청하세요.

3. 수업은 앞자리에서 듣는게 좋아요. 교수님과 친해지세요. 교수님이 제 이름을 기억해주신다는건 정말 좋은일 입니다. + 대학원을 권유받으면 성공한인생 +

4. 반장, 부반장, 칠판 당번이 있으니 역할분담에 힘쓰도록 해요. 우유당번을 하는 학생은 1교시와 2교시 쉬는시간에 우유를 배부해주세요.( 태도점수가 제일 큰건 우유당번입니다.)

5. 핸드폰 사용하다 걸리면 압수당하니, 수업시작전에 전원꺼서 제출하도록해요.

6. 교실에 들어올땐 실내화나 슬리퍼 준비하세요. 초등학생때 신던 흰색실내화가 제일 무난하고 많이신어요.(트렌디한 신발주머니도 잊지말아요. 에코백도 괜찮아요.)

7. 수업과 수업사이엔 공강을 넣어 예습복습 시간을 가지세요.

8. 부지런한 생활을 원한다면 1교시 수업을 듣는건 필수에요 !

9. 1교시가 끝나면 우유배부가 있으니 자리에 앉아서 우유당번이 우유를 나눠줄때 까지 기다리세요.( 수요일은 초코나 딸기우윤데 랜덤이라..)

10. 수업종이 울리기 전에 다음 수업 강의실에 앉아 기다리는건 매너에요.

11. 학교에 있는 모든 교수님들껜 마주칠때마다 가벼운 목례나 반가운 인사로 ‘안녕하세요 교수님! 저는 OOO입니다’라고 인사하며 교수님이 제 이름을 기억하시도록해요.

12. 친구를 사귀고싶다면 동아리를 가입하는것이 좋아요. 다양한 문화생활을 함께할 친구들을 사귀어보아요.

13. 종강날 과자파티 이건 과마다 조금 다른데, 대게는 같은 수업들은 친구들과 과자한봉지씩 사와서 교수님과 나눠먹는 날이에요. 한 학기동안 수고해주신 교수님께 진심을 담은 편지도 잊지마세요!"
0|이번 총학 총대 사태를 보며 느끼는건|총학이든 총대든 단과대 학생회든 간에 느그들이 다른 학우들보다 월등히 뛰어나다는 생각 좀 버리길 제발^^ 학우들이 뽑아줬으면 감사합니다~ 하고 열심히 일할 것이지 맨날 술 먹고 놀러다니면서 유착관계 형성하니까 결국 이 사단 이 꼴이 난거잖아ㅋㅋㅋㅋㅋ 걸리지나말지 꼬리가 길면 다 잡히게 되어있다~ 아직 다른 단과 학생회, 대의원, 그리고 각 학과 학회장들 조마조마할텐데 선배들이 너네가 다른 학우들보다 우월해서 끌어주는거 아니다~? 그냥 술 같이 쳐먹고 노니까 끌어주는거지ㅋㅋㅋ 그니까 지금이라도 운 좋게 자리 꿰차고 있으면 그 자리에 맞게 말과 행동을 하길 바란다 아가들아^^
0|🥳 월사 크리스마스 포토존 개방 🥳|"월영사진연구회에서 크리스마스 포토존을 개방합니다!!

와서 사진 많이 찍고 가세요!!

1️⃣ 장소: 한마관 4층 월영사진연구회
올라오실때 식당쪽 계단으로 올라오시면 됩니다

2️⃣ 시간 2021년 12월 8일 12시 ~ 4시"
0|따봉도치|따봉도치 본 사람들은 시험 잘쳐서 성적 A+받을거임!
0|서명운동 시위 참여자 심리학과 강겨레입니다.|"현재 진행 상황에 대해 말씀드립니다.

12월 1일 오전 10시 경
경남대학교 학생간부 유착관계에 대한 해명 촉구 서명운동을 시작했습니다.
시위 시작 약 20분 경과 후 학생지원처 계장님과 직원분께서 찾아오셨습니다.

시위를 하는 이유와 진행 과정에 대해 확인 차 방문하셨습니다.
이후 확실한 물증, 증인이 있다면 학생처에서 그에 알맞은 징계와 처벌을 내리겠다는 말씀을 하셨고 시위를 철수한 뒤 학생처에 방문해 자세한 이야기를 나누자고 얘기가 되었습니다.

12월 1일 오후 12시 경
시위에 참여한 학우들과 학생처에 방문해 유착관계와 관련한 여러 의혹과 증거의 사실관계 여부를 조사했습니다.

저희는 학생처에서 총 학생회 회장, 총 대의원회 의장이 입장문을 작성할 수 있도록 조치하겠으며 유착관계와 관련있는 당사자들을 모아 간담회를 진행하겠다는 확답을 받았습니다.

12월 2일 오후 4시 30분부터 약 7시 30분까지
한마관에서 학생처 부장님, 계장님, 직원분, 총학생회 회장, 총대의원회 의장 그리고 시위참가자 학우들과 1차 간담회를 진행하였습니다.

12월 6일 오후 6시 30분부터 약 7시 40분까지
2차 간담회를 진행하였습니다.

1,2차 간담회에서 시위 참가자 학우들이 가지고있는 여러 의혹에 관한 증거와 주장에 대해 학생처, 총 학생회 회장, 총 대의원회 의장의 답변을 들었고 사실 여부와 진위 여부를 파악했습니다.

이후 저희가 가지고있는 모든 증거를 학생처에 전달하였고, 학생처에서 진위 여부를 파악해 확인된 사항은 이번주 내로 학생지도위원회에 회부하여, 총 학생회 회장, 총 대의원회 의장, 교내 1인시위를 한 학우 3명의 처벌 및 징계에 대해서 논의한다고 하셨습니다.

학생지도위원회는 단과대 학장님, 부총장님이 참석하시어 관련된 모든 사항을 파악하고 징계위원회로 회부한다고 합니다.

모두 학우 여러분들의 관심 덕분입니다.
많은 관심 가져주셔서 감사합니다.
학생지도위원회의 결과가 나오면 즉시 공유하도록 하겠습니다.

*본 글은 타인을 비방하거나 명예를 훼손하려는 의도가 없으며, 경남대학교 학우분들의 알 권리를 위한 정보 전달에 의도가 있음을 밝힙니다. 또한, 학우 여러분들께서는 본 글에 언급된 모든 학우들을 대상으로한 무분별한 비난과 조롱 및 명예훼손의 의도가 다분한 댓글은 삼가하여 주시길 부탁드립니다."
0|정문 앞 싸움|크게 싸우던데
0|rh+b형 급한데 헌혈해주실 분 있을까요??|"•헌혈의 집에 전화해서 혈소판 헌혈 가능하냐 묻고 날짜잡은 뒤 신분증 챙겨서 가면 됩니다.
•지정헌혈이라 삼성서울병원 등록번호 47212384 이한수 환아 852호 무균실 이한수 라고 알려주면 됩니다.
•보호자 연락처가 필요할경우, 궁금한점등은
우혜경 010-3479-8527로 연락 주시기 바랍니다."
0|이 글을 보는 당신들!|당신들은 최고야~! 지금까지 너무 잘 하고 있어!! 앞으로도 잘 될거야 좋은 하루 됐으면 좋겠다는 거시다~!
0|계속해서 매섭게..|쏘겠-어!
0|총학학폭|"안믿으실분있으신가봐 원글작성자임을 사진으로 인증드립니다. 원글 지운 사유는 누구인지 알려달라는 의견이 많아서 지웠습니다. 이제부터 편하게 말하겠습니다.
본론부터는 총학 누구인지, 붙었는지 떨어졌는지 말은 못한다. 걸레가 빨아도 걸레겠지만 지가 과거세탁한다는데 뭐 어쩌겠냐 ㅋ
누가 학폭이면 증거증인을 내세우고 시위를 해라고 했지만 난 새빛님처럼 정의롭지 않아서 나를 소모하면서까지 피곤하게 시위하고싶지도 않고, 증인은 내가 학폭당한 당사자고 목격하고 같이 당한 증인들이 몇명있는데 함부로 말하지 않았으면 한다.
학폭 당한 내용으로는 담배대여섯개비 연속으로 억지로 피우게하고 알바하고 알바비받은거 뺏고 아무이유없이 귀싸대기때리도 엎드려뻗쳐시켜서 배 걷어차였다. 다시 말하지만 내가 증인이다. 그땐 어려서 아무 말 못했는데 지금을 위해서였나보다. 당사자는 이거보면 내가 누군지 모를 수가 없을거다. 맨날 지 여자친구 따먹었으니까 헤어질거다, 지가 공부를 어떻게 했느니 ~~~ 얘기했는데 지금 무슨과 ??? ㅋ 역겨워 뒤지는 줄 알았다.
지금은 이미지세탁 어느정도하고 잘 살겠지만 본성은 안변한다. 제발 평생 고통받으면서 살아가라."
0|에타는 확실히 개돼지 비율이 높다|"백신 맞기 싫으면 이민가라는 헛소릴하네ㅋㅋ
접종하고 죽어도 인과관계 증명도 안해주면서 접종 강제하는건 좀 아니지 않음?
인과관계 인정만 해도 접종률 95퍼 넘을텐데?
그리고 직장이나 친구들 끼리도 백신 안맞은 사람 은근히 벌레취급하는거 보면 시민의식도 전체주의, 사회주의임

하는짓 보면 민주주의는 과분하다ㅋㅋ 한참 멀었음"
0|어제 파마 평가부탁드렸던 짜니짜니현짜니입니다|"오늘 친구가 드라이해줬는데 어떤가요
왼쪽이 에프터입니다"
0|한마컵에 관해서 꼭 읽어주세요! 2탄|"근황 궁금해 하시는 분들이 몇 있어서 써요ㅠ
그때 제가 찾던 그 분이랑 연락이 닿아서 몇일전에 과방에서 만났어요..! 근데.. 그때 입고 오신 옷이 좀 특이하시고.. 정말 소문에서 듣던대로 종아리가 알타리시더라구여.. ㅎ 글서 몰래 사진 찍어놓은거 올려용.. (그 분 유명해지시고 싶다고 사진 올리는거 허락 하셨어용) 실제로 보면 알타리 종아리 무시막지 합니당 …아 ㅎ 내일도 한마컵 포스 뛰신다고 하십니당 화이팅 하세요 선배님!!"
0|학교 홈페이지에 있는 내용입니다!|좀전에 올라왔어요
0|펙트체크해야지|아직 까지 뭐가 정답인지도 모르잖아 왜 누가 실명까고 글만 올리면 다 그게 맞다는듯이 댓글달고 여론을 몰아가? 그러니까 개돼지니 키보드워리어니 소리 듣는거같은데 다들 중립기어박고 객관적으로 판단해 이번 선거가 진짜 유착으로 인한 썩은물 사건일수도있지만 선거에서 떨어진 후보자들의 억지 발악일수도있어 결국 많은 학우가 선택했다는것은 그만한 이유가 있는걸 수도 있으니까 너무 심한 댓글이나 비방 잘못된 정보 전달은 참자 우리 다 성인인데 성인답게
0|파마했는데 평가좀|"어떤가요
정면사진 추가했어요!!"
0|한마컵에 관해서 꼭 읽어주세요!|"저 이분 꼭 찾고싶어서 .. 좋아요 눌러서 다른 분들도 보시게 해주세요!!
어제 한마컵 포스 축구 차시는 분들 중에 후반부쯤 긴바지 입으시고 안경쓰신 분 잘생기셨어요.. 등판 번호가 14번 이셨던거같은데 …. 누군지 아시는 분 있으신가요?.. 댓글좀 달아주세오.."
0|보다보다 답답해서 글 씀|"유착 관계 = 그냥 친한 사이
이거면 아무 문제가 없는데
유착 관계 => 후보자 회유로 비롯된 직접적인 선거 개입
이렇게 이어져서 문제가 되는거잖아

선거를 중립적으로 관리해야 하는 기구가
선거에서 편파적인 입장을 취했으니 문제가 된다고 ㅇㅋ?

1번 2번은 라인이 없니 있니 친하니 마니 하는거 답답해서 썼음"
0|서명운동 시위 주도자 일어교육과 성새빛입니다.|"오늘 오전 09시 40분 경 테이블 설치를 마치고 프린터를 한 뒤 10시 서명운동을 실시하고 집회신고 확인을 위해, 마산 중부경찰서 정보관님께서 사진 촬영을 마치시고 약 20분 간 시위를 진행하던중 학생지원처에서 계장님과 직원분께서 찾아오셔서 시위가 어떻게 진행되는지 확인 차 방문하셨고, 이 부분에선 강압적인 제지는 없으셨습니다.

이후 학생처에서 확실한 물증이 있다면 학생처에서 그에 알맞는 징계와 처벌을 내리겠다고 하셔서 그럼 시위를 마감하고 학생처에 방문해서 얘기를 나누자고 협의를 했습니다.

학생처에 시위참가자인 학우분들과 방문해 증거의 사실관계 조사 후 확실한 징계를 내린다고 말씀하셨고, 총 학생회장 총 대의원장의 입장문을 작성하겠다, 그리고 유착관계에 거론된 관계자들을 모아 간담회를 진행하겠다라는 확답을 받고 회의를 마치고 나온 상황입니다.

시위 첫 날 부터 제가 생각한 유효한 결과가 나왔습니다.

모두 학우 여러분들의 관심 덕분입니다. 저를 믿고 시위를 찾아와주셨다가 헛걸음 하신 학우분들께는 진심으로 죄송합니다.

앞으로 모든 회의, 진행 사항을 알려드리겠습니다. 그리고 학우분들이 수긍하시지 못하는 부분, 결과가 나온다면 언제든지 시위를 재개하겠습니다.

긴 글 읽어주셔서 감사합니다."
